Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
EMFSolutionYAMTL;Q1;1;0;0;Initialization;Time;270538362
EMFSolutionYAMTL;Q1;1;0;0;Initialization;Memory;2597128
EMFSolutionYAMTL;Q1;1;0;0;Load;Time;320662795
EMFSolutionYAMTL;Q1;1;0;0;Load;Memory;3716152
EMFSolutionYAMTL;Q1;1;0;0;Initial;Time;40507724
EMFSolutionYAMTL;Q1;1;0;0;Initial;Memory;4442688
EMFSolutionYAMTL;Q1;1;0;0;Initial;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;1;Update;Time;7477002
EMFSolutionYAMTL;Q1;1;0;1;Update;Memory;4507000
EMFSolutionYAMTL;Q1;1;0;1;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;2;Update;Time;747678
EMFSolutionYAMTL;Q1;1;0;2;Update;Memory;4522272
EMFSolutionYAMTL;Q1;1;0;2;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;3;Update;Time;1744260
EMFSolutionYAMTL;Q1;1;0;3;Update;Memory;4537952
EMFSolutionYAMTL;Q1;1;0;3;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;4;Update;Time;938377
EMFSolutionYAMTL;Q1;1;0;4;Update;Memory;4554656
EMFSolutionYAMTL;Q1;1;0;4;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;5;Update;Time;574581
EMFSolutionYAMTL;Q1;1;0;5;Update;Memory;4571680
EMFSolutionYAMTL;Q1;1;0;5;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;6;Update;Time;1123014
EMFSolutionYAMTL;Q1;1;0;6;Update;Memory;4589112
EMFSolutionYAMTL;Q1;1;0;6;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;7;Update;Time;621330
EMFSolutionYAMTL;Q1;1;0;7;Update;Memory;4605608
EMFSolutionYAMTL;Q1;1;0;7;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;8;Update;Time;1266264
EMFSolutionYAMTL;Q1;1;0;8;Update;Memory;4623768
EMFSolutionYAMTL;Q1;1;0;8;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;9;Update;Time;574645
EMFSolutionYAMTL;Q1;1;0;9;Update;Memory;4639512
EMFSolutionYAMTL;Q1;1;0;9;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;10;Update;Time;992916
EMFSolutionYAMTL;Q1;1;0;10;Update;Memory;4659400
EMFSolutionYAMTL;Q1;1;0;10;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;11;Update;Time;653231
EMFSolutionYAMTL;Q1;1;0;11;Update;Memory;4676424
EMFSolutionYAMTL;Q1;1;0;11;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;12;Update;Time;526660
EMFSolutionYAMTL;Q1;1;0;12;Update;Memory;4693304
EMFSolutionYAMTL;Q1;1;0;12;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;13;Update;Time;420659
EMFSolutionYAMTL;Q1;1;0;13;Update;Memory;4708536
EMFSolutionYAMTL;Q1;1;0;13;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;14;Update;Time;710510
EMFSolutionYAMTL;Q1;1;0;14;Update;Memory;4726568
EMFSolutionYAMTL;Q1;1;0;14;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;15;Update;Time;245589
EMFSolutionYAMTL;Q1;1;0;15;Update;Memory;4747152
EMFSolutionYAMTL;Q1;1;0;15;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;16;Update;Time;523915
EMFSolutionYAMTL;Q1;1;0;16;Update;Memory;4761512
EMFSolutionYAMTL;Q1;1;0;16;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;17;Update;Time;623331
EMFSolutionYAMTL;Q1;1;0;17;Update;Memory;4779736
EMFSolutionYAMTL;Q1;1;0;17;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;18;Update;Time;806911
EMFSolutionYAMTL;Q1;1;0;18;Update;Memory;4799688
EMFSolutionYAMTL;Q1;1;0;18;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;19;Update;Time;956198
EMFSolutionYAMTL;Q1;1;0;19;Update;Memory;4822000
EMFSolutionYAMTL;Q1;1;0;19;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;20;Update;Time;349967
EMFSolutionYAMTL;Q1;1;0;20;Update;Memory;4836072
EMFSolutionYAMTL;Q1;1;0;20;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;2;0;0;Initialization;Time;283593334
EMFSolutionYAMTL;Q1;2;0;0;Initialization;Memory;2596944
EMFSolutionYAMTL;Q1;2;0;0;Load;Time;365752938
EMFSolutionYAMTL;Q1;2;0;0;Load;Memory;4053664
EMFSolutionYAMTL;Q1;2;0;0;Initial;Time;43409942
EMFSolutionYAMTL;Q1;2;0;0;Initial;Memory;5162720
EMFSolutionYAMTL;Q1;2;0;0;Initial;Elements;167197|723178|404286
EMFSolutionYAMTL;Q1;2;0;1;Update;Time;7116470
EMFSolutionYAMTL;Q1;2;0;1;Update;Memory;5233352
EMFSolutionYAMTL;Q1;2;0;1;Update;Elements;167197|723178|404286
EMFSolutionYAMTL;Q1;2;0;2;Update;Time;1145210
EMFSolutionYAMTL;Q1;2;0;2;Update;Memory;5259232
EMFSolutionYAMTL;Q1;2;0;2;Update;Elements;167197|723178|404286
EMFSolutionYAMTL;Q1;2;0;3;Update;Time;172301
EMFSolutionYAMTL;Q1;2;0;3;Update;Memory;5276560
EMFSolutionYAMTL;Q1;2;0;3;Update;Elements;167197|723178|404286
