Tool,View,ChangeSet,RunIndex,Iteration,PhaseName,MetricName,MetricValue
EMFSolutionYAMTL,Q1,1,0,0,Initialization,Time,271389626
EMFSolutionYAMTL,Q1,1,0,0,Initialization,Memory,4275656
EMFSolutionYAMTL,Q1,1,0,0,Load,Time,287169910
EMFSolutionYAMTL,Q1,1,0,0,Load,Memory,5302208
EMFSolutionYAMTL,Q1,1,0,0,Initial,Time,77998968
EMFSolutionYAMTL,Q1,1,0,0,Initial,Memory,6129288
EMFSolutionYAMTL,Q1,1,0,0,Initial,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,1,Update,Time,6653087
EMFSolutionYAMTL,Q1,1,0,1,Update,Memory,6189296
EMFSolutionYAMTL,Q1,1,0,1,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,2,Update,Time,742415
EMFSolutionYAMTL,Q1,1,0,2,Update,Memory,6205160
EMFSolutionYAMTL,Q1,1,0,2,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,3,Update,Time,1561599
EMFSolutionYAMTL,Q1,1,0,3,Update,Memory,6220784
EMFSolutionYAMTL,Q1,1,0,3,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,4,Update,Time,705825
EMFSolutionYAMTL,Q1,1,0,4,Update,Memory,6237880
EMFSolutionYAMTL,Q1,1,0,4,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,5,Update,Time,819187
EMFSolutionYAMTL,Q1,1,0,5,Update,Memory,6254752
EMFSolutionYAMTL,Q1,1,0,5,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,6,Update,Time,688102
EMFSolutionYAMTL,Q1,1,0,6,Update,Memory,6272744
EMFSolutionYAMTL,Q1,1,0,6,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,7,Update,Time,524440
EMFSolutionYAMTL,Q1,1,0,7,Update,Memory,6289240
EMFSolutionYAMTL,Q1,1,0,7,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,8,Update,Time,890388
EMFSolutionYAMTL,Q1,1,0,8,Update,Memory,6308552
EMFSolutionYAMTL,Q1,1,0,8,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,9,Update,Time,435344
EMFSolutionYAMTL,Q1,1,0,9,Update,Memory,6324224
EMFSolutionYAMTL,Q1,1,0,9,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,10,Update,Time,623058
EMFSolutionYAMTL,Q1,1,0,10,Update,Memory,6344112
EMFSolutionYAMTL,Q1,1,0,10,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,11,Update,Time,659997
EMFSolutionYAMTL,Q1,1,0,11,Update,Memory,6361008
EMFSolutionYAMTL,Q1,1,0,11,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,12,Update,Time,627384
EMFSolutionYAMTL,Q1,1,0,12,Update,Memory,6377840
EMFSolutionYAMTL,Q1,1,0,12,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,13,Update,Time,516437
EMFSolutionYAMTL,Q1,1,0,13,Update,Memory,6393024
EMFSolutionYAMTL,Q1,1,0,13,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,14,Update,Time,645634
EMFSolutionYAMTL,Q1,1,0,14,Update,Memory,6411064
EMFSolutionYAMTL,Q1,1,0,14,Update,Elements,404236|167197|404315
