Tool,View,ChangeSet,RunIndex,Iteration,PhaseName,MetricName,MetricValue
EMFSolutionYAMTL,Q1,1,0,0,Initialization,Time,300715042
EMFSolutionYAMTL,Q1,1,0,0,Initialization,Memory,4275976
EMFSolutionYAMTL,Q1,1,0,0,Load,Time,328504712
EMFSolutionYAMTL,Q1,1,0,0,Load,Memory,5394240
EMFSolutionYAMTL,Q1,1,0,0,Initial,Time,41171216
EMFSolutionYAMTL,Q1,1,0,0,Initial,Memory,6122192
EMFSolutionYAMTL,Q1,1,0,0,Initial,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,1,Update,Time,7700680
EMFSolutionYAMTL,Q1,1,0,1,Update,Memory,6185216
EMFSolutionYAMTL,Q1,1,0,1,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,2,Update,Time,759827
EMFSolutionYAMTL,Q1,1,0,2,Update,Memory,6201352
EMFSolutionYAMTL,Q1,1,0,2,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,3,Update,Time,1588011
EMFSolutionYAMTL,Q1,1,0,3,Update,Memory,6216904
EMFSolutionYAMTL,Q1,1,0,3,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,4,Update,Time,629947
EMFSolutionYAMTL,Q1,1,0,4,Update,Memory,6233552
EMFSolutionYAMTL,Q1,1,0,4,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,5,Update,Time,631914
EMFSolutionYAMTL,Q1,1,0,5,Update,Memory,6251488
EMFSolutionYAMTL,Q1,1,0,5,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,6,Update,Time,907344
EMFSolutionYAMTL,Q1,1,0,6,Update,Memory,6269088
EMFSolutionYAMTL,Q1,1,0,6,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,7,Update,Time,536900
EMFSolutionYAMTL,Q1,1,0,7,Update,Memory,6285744
EMFSolutionYAMTL,Q1,1,0,7,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,8,Update,Time,839090
EMFSolutionYAMTL,Q1,1,0,8,Update,Memory,6303856
EMFSolutionYAMTL,Q1,1,0,8,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,9,Update,Time,507727
EMFSolutionYAMTL,Q1,1,0,9,Update,Memory,6319624
EMFSolutionYAMTL,Q1,1,0,9,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,10,Update,Time,703590
EMFSolutionYAMTL,Q1,1,0,10,Update,Memory,6339696
EMFSolutionYAMTL,Q1,1,0,10,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,11,Update,Time,887772
EMFSolutionYAMTL,Q1,1,0,11,Update,Memory,6356768
EMFSolutionYAMTL,Q1,1,0,11,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,12,Update,Time,446931
EMFSolutionYAMTL,Q1,1,0,12,Update,Memory,6373600
EMFSolutionYAMTL,Q1,1,0,12,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,13,Update,Time,460936
EMFSolutionYAMTL,Q1,1,0,13,Update,Memory,6388888
EMFSolutionYAMTL,Q1,1,0,13,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,14,Update,Time,681842
EMFSolutionYAMTL,Q1,1,0,14,Update,Memory,6406912
EMFSolutionYAMTL,Q1,1,0,14,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,15,Update,Time,253783
EMFSolutionYAMTL,Q1,1,0,15,Update,Memory,6427424
EMFSolutionYAMTL,Q1,1,0,15,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,16,Update,Time,332806
EMFSolutionYAMTL,Q1,1,0,16,Update,Memory,6441744
EMFSolutionYAMTL,Q1,1,0,16,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,17,Update,Time,531757
EMFSolutionYAMTL,Q1,1,0,17,Update,Memory,6459960
EMFSolutionYAMTL,Q1,1,0,17,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,18,Update,Time,643163
EMFSolutionYAMTL,Q1,1,0,18,Update,Memory,6479344
