Tool,View,ChangeSet,RunIndex,Iteration,PhaseName,MetricName,MetricValue
EMFSolutionYAMTL,Q1,1,0,0,Initialization,Time,266447868
EMFSolutionYAMTL,Q1,1,0,0,Initialization,Memory,4276192
EMFSolutionYAMTL,Q1,1,0,0,Load,Time,323131873
EMFSolutionYAMTL,Q1,1,0,0,Load,Memory,5397584
EMFSolutionYAMTL,Q1,1,0,0,Initial,Time,46571301
EMFSolutionYAMTL,Q1,1,0,0,Initial,Memory,6125176
EMFSolutionYAMTL,Q1,1,0,0,Initial,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,1,Update,Time,7142931
EMFSolutionYAMTL,Q1,1,0,1,Update,Memory,6188096
EMFSolutionYAMTL,Q1,1,0,1,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,2,Update,Time,1339839
EMFSolutionYAMTL,Q1,1,0,2,Update,Memory,6203888
EMFSolutionYAMTL,Q1,1,0,2,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,3,Update,Time,1544582
EMFSolutionYAMTL,Q1,1,0,3,Update,Memory,6219352
EMFSolutionYAMTL,Q1,1,0,3,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,4,Update,Time,959292
EMFSolutionYAMTL,Q1,1,0,4,Update,Memory,6236424
EMFSolutionYAMTL,Q1,1,0,4,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,5,Update,Time,586110
EMFSolutionYAMTL,Q1,1,0,5,Update,Memory,6253456
EMFSolutionYAMTL,Q1,1,0,5,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,6,Update,Time,922483
EMFSolutionYAMTL,Q1,1,0,6,Update,Memory,6271416
EMFSolutionYAMTL,Q1,1,0,6,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,7,Update,Time,525723
EMFSolutionYAMTL,Q1,1,0,7,Update,Memory,6287976
EMFSolutionYAMTL,Q1,1,0,7,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,8,Update,Time,817375
EMFSolutionYAMTL,Q1,1,0,8,Update,Memory,6306088
EMFSolutionYAMTL,Q1,1,0,8,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,9,Update,Time,477596
EMFSolutionYAMTL,Q1,1,0,9,Update,Memory,6321728
EMFSolutionYAMTL,Q1,1,0,9,Update,Elements,167197|404236|404315
