Tool,View,ChangeSet,RunIndex,Iteration,PhaseName,MetricName,MetricValue
EMFSolutionYAMTL,Q1,1,0,0,Initialization,Time,267800858
EMFSolutionYAMTL,Q1,1,0,0,Initialization,Memory,4276112
EMFSolutionYAMTL,Q1,1,0,0,Load,Time,329465113
EMFSolutionYAMTL,Q1,1,0,0,Load,Memory,5396936
EMFSolutionYAMTL,Q1,1,0,0,Initial,Time,45596145
EMFSolutionYAMTL,Q1,1,0,0,Initial,Memory,6124728
EMFSolutionYAMTL,Q1,1,0,0,Initial,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,1,Update,Time,8851390
EMFSolutionYAMTL,Q1,1,0,1,Update,Memory,6187296
EMFSolutionYAMTL,Q1,1,0,1,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,2,Update,Time,1253329
EMFSolutionYAMTL,Q1,1,0,2,Update,Memory,6202768
EMFSolutionYAMTL,Q1,1,0,2,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,3,Update,Time,1661330
EMFSolutionYAMTL,Q1,1,0,3,Update,Memory,6218232
EMFSolutionYAMTL,Q1,1,0,3,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,4,Update,Time,535819
EMFSolutionYAMTL,Q1,1,0,4,Update,Memory,6235696
EMFSolutionYAMTL,Q1,1,0,4,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,5,Update,Time,520668
EMFSolutionYAMTL,Q1,1,0,5,Update,Memory,6252824
EMFSolutionYAMTL,Q1,1,0,5,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,6,Update,Time,667295
EMFSolutionYAMTL,Q1,1,0,6,Update,Memory,6270768
EMFSolutionYAMTL,Q1,1,0,6,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,7,Update,Time,562355
EMFSolutionYAMTL,Q1,1,0,7,Update,Memory,6287264
EMFSolutionYAMTL,Q1,1,0,7,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,8,Update,Time,1063153
EMFSolutionYAMTL,Q1,1,0,8,Update,Memory,6305440
EMFSolutionYAMTL,Q1,1,0,8,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,9,Update,Time,676512
EMFSolutionYAMTL,Q1,1,0,9,Update,Memory,6321160
EMFSolutionYAMTL,Q1,1,0,9,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,10,Update,Time,755006
EMFSolutionYAMTL,Q1,1,0,10,Update,Memory,6341048
EMFSolutionYAMTL,Q1,1,0,10,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,11,Update,Time,570368
EMFSolutionYAMTL,Q1,1,0,11,Update,Memory,6357944
EMFSolutionYAMTL,Q1,1,0,11,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,12,Update,Time,436026
EMFSolutionYAMTL,Q1,1,0,12,Update,Memory,6374776
EMFSolutionYAMTL,Q1,1,0,12,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,13,Update,Time,536768
EMFSolutionYAMTL,Q1,1,0,13,Update,Memory,6389896
EMFSolutionYAMTL,Q1,1,0,13,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,14,Update,Time,668437
EMFSolutionYAMTL,Q1,1,0,14,Update,Memory,6407880
EMFSolutionYAMTL,Q1,1,0,14,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,15,Update,Time,369495
EMFSolutionYAMTL,Q1,1,0,15,Update,Memory,6428448
EMFSolutionYAMTL,Q1,1,0,15,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,16,Update,Time,252775
EMFSolutionYAMTL,Q1,1,0,16,Update,Memory,6442568
EMFSolutionYAMTL,Q1,1,0,16,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,17,Update,Time,506618
EMFSolutionYAMTL,Q1,1,0,17,Update,Memory,6460872
EMFSolutionYAMTL,Q1,1,0,17,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,18,Update,Time,661947
EMFSolutionYAMTL,Q1,1,0,18,Update,Memory,6481312
EMFSolutionYAMTL,Q1,1,0,18,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,19,Update,Time,774137
EMFSolutionYAMTL,Q1,1,0,19,Update,Memory,6502968
EMFSolutionYAMTL,Q1,1,0,19,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,20,Update,Time,530378
EMFSolutionYAMTL,Q1,1,0,20,Update,Memory,6517040
EMFSolutionYAMTL,Q1,1,0,20,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,1,0,Initialization,Time,280411435
EMFSolutionYAMTL,Q1,1,1,0,Initialization,Memory,4276264
EMFSolutionYAMTL,Q1,1,1,0,Load,Time,314551900
EMFSolutionYAMTL,Q1,1,1,0,Load,Memory,5394640
EMFSolutionYAMTL,Q1,1,1,0,Initial,Time,39222067
EMFSolutionYAMTL,Q1,1,1,0,Initial,Memory,6122592
EMFSolutionYAMTL,Q1,1,1,0,Initial,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,1,1,Update,Time,7412798
EMFSolutionYAMTL,Q1,1,1,1,Update,Memory,6185872
EMFSolutionYAMTL,Q1,1,1,1,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,1,2,Update,Time,817560
EMFSolutionYAMTL,Q1,1,1,2,Update,Memory,6201520
EMFSolutionYAMTL,Q1,1,1,2,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,1,3,Update,Time,1560994
EMFSolutionYAMTL,Q1,1,1,3,Update,Memory,6216984
EMFSolutionYAMTL,Q1,1,1,3,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,1,4,Update,Time,763086
EMFSolutionYAMTL,Q1,1,1,4,Update,Memory,6233768
EMFSolutionYAMTL,Q1,1,1,4,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,1,5,Update,Time,693042
EMFSolutionYAMTL,Q1,1,1,5,Update,Memory,6251816
EMFSolutionYAMTL,Q1,1,1,5,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,1,6,Update,Time,1301196
EMFSolutionYAMTL,Q1,1,1,6,Update,Memory,6268904
EMFSolutionYAMTL,Q1,1,1,6,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,1,7,Update,Time,628169
EMFSolutionYAMTL,Q1,1,1,7,Update,Memory,6286208
EMFSolutionYAMTL,Q1,1,1,7,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,1,8,Update,Time,855811
EMFSolutionYAMTL,Q1,1,1,8,Update,Memory,6304728
EMFSolutionYAMTL,Q1,1,1,8,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,1,9,Update,Time,470591
EMFSolutionYAMTL,Q1,1,1,9,Update,Memory,6321192
EMFSolutionYAMTL,Q1,1,1,9,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,1,10,Update,Time,672932
EMFSolutionYAMTL,Q1,1,1,10,Update,Memory,6340584
EMFSolutionYAMTL,Q1,1,1,10,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,1,11,Update,Time,559100
EMFSolutionYAMTL,Q1,1,1,11,Update,Memory,6358024
EMFSolutionYAMTL,Q1,1,1,11,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,1,12,Update,Time,845647
EMFSolutionYAMTL,Q1,1,1,12,Update,Memory,6374904
EMFSolutionYAMTL,Q1,1,1,12,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,1,13,Update,Time,662980
EMFSolutionYAMTL,Q1,1,1,13,Update,Memory,6390024
EMFSolutionYAMTL,Q1,1,1,13,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,1,14,Update,Time,1009428
EMFSolutionYAMTL,Q1,1,1,14,Update,Memory,6408008
EMFSolutionYAMTL,Q1,1,1,14,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,1,15,Update,Time,303510
EMFSolutionYAMTL,Q1,1,1,15,Update,Memory,6428648
EMFSolutionYAMTL,Q1,1,1,15,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,1,16,Update,Time,277695
EMFSolutionYAMTL,Q1,1,1,16,Update,Memory,6443008
EMFSolutionYAMTL,Q1,1,1,16,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,1,17,Update,Time,651403
EMFSolutionYAMTL,Q1,1,1,17,Update,Memory,6460480
EMFSolutionYAMTL,Q1,1,1,17,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,1,18,Update,Time,1270112
EMFSolutionYAMTL,Q1,1,1,18,Update,Memory,6481656
EMFSolutionYAMTL,Q1,1,1,18,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,1,19,Update,Time,768402
EMFSolutionYAMTL,Q1,1,1,19,Update,Memory,6503368
EMFSolutionYAMTL,Q1,1,1,19,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,1,20,Update,Time,344945
EMFSolutionYAMTL,Q1,1,1,20,Update,Memory,6517440
EMFSolutionYAMTL,Q1,1,1,20,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,2,0,Initialization,Time,340380595
EMFSolutionYAMTL,Q1,1,2,0,Initialization,Memory,4276040
EMFSolutionYAMTL,Q1,1,2,0,Load,Time,334867978
EMFSolutionYAMTL,Q1,1,2,0,Load,Memory,5394448
EMFSolutionYAMTL,Q1,1,2,0,Initial,Time,49208039
EMFSolutionYAMTL,Q1,1,2,0,Initial,Memory,6122296
