Tool,View,ChangeSet,RunIndex,Iteration,PhaseName,MetricName,MetricValue
EMFSolutionYAMTL,Q1,1,0,0,Initialization,Time,274236221
EMFSolutionYAMTL,Q1,1,0,0,Initialization,Memory,4276288
EMFSolutionYAMTL,Q1,1,0,0,Load,Time,313349352
EMFSolutionYAMTL,Q1,1,0,0,Load,Memory,5395296
EMFSolutionYAMTL,Q1,1,0,0,Initial,Time,47364011
EMFSolutionYAMTL,Q1,1,0,0,Initial,Memory,6123768
EMFSolutionYAMTL,Q1,1,0,0,Initial,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,1,Update,Time,8107686
EMFSolutionYAMTL,Q1,1,0,1,Update,Memory,6389616
EMFSolutionYAMTL,Q1,1,0,1,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,2,Update,Time,1061052
EMFSolutionYAMTL,Q1,1,0,2,Update,Memory,6427376
EMFSolutionYAMTL,Q1,1,0,2,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,3,Update,Time,1619303
EMFSolutionYAMTL,Q1,1,0,3,Update,Memory,6461568
EMFSolutionYAMTL,Q1,1,0,3,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,4,Update,Time,884246
EMFSolutionYAMTL,Q1,1,0,4,Update,Memory,6496640
EMFSolutionYAMTL,Q1,1,0,4,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,5,Update,Time,645225
EMFSolutionYAMTL,Q1,1,0,5,Update,Memory,6532520
EMFSolutionYAMTL,Q1,1,0,5,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,6,Update,Time,701157
EMFSolutionYAMTL,Q1,1,0,6,Update,Memory,6569392
EMFSolutionYAMTL,Q1,1,0,6,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,7,Update,Time,883534
EMFSolutionYAMTL,Q1,1,0,7,Update,Memory,6605640
EMFSolutionYAMTL,Q1,1,0,7,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,8,Update,Time,1083173
EMFSolutionYAMTL,Q1,1,0,8,Update,Memory,6645128
EMFSolutionYAMTL,Q1,1,0,8,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,9,Update,Time,451659
EMFSolutionYAMTL,Q1,1,0,9,Update,Memory,6680280
EMFSolutionYAMTL,Q1,1,0,9,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,10,Update,Time,620094
EMFSolutionYAMTL,Q1,1,0,10,Update,Memory,6719584
EMFSolutionYAMTL,Q1,1,0,10,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,11,Update,Time,656233
EMFSolutionYAMTL,Q1,1,0,11,Update,Memory,6755320
EMFSolutionYAMTL,Q1,1,0,11,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,12,Update,Time,447735
EMFSolutionYAMTL,Q1,1,0,12,Update,Memory,6792560
EMFSolutionYAMTL,Q1,1,0,12,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,13,Update,Time,410355
EMFSolutionYAMTL,Q1,1,0,13,Update,Memory,6826480
EMFSolutionYAMTL,Q1,1,0,13,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,14,Update,Time,662009
EMFSolutionYAMTL,Q1,1,0,14,Update,Memory,6867072
EMFSolutionYAMTL,Q1,1,0,14,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,15,Update,Time,245836
EMFSolutionYAMTL,Q1,1,0,15,Update,Memory,6906416
EMFSolutionYAMTL,Q1,1,0,15,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,16,Update,Time,299033
EMFSolutionYAMTL,Q1,1,0,16,Update,Memory,6939040
EMFSolutionYAMTL,Q1,1,0,16,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,17,Update,Time,977573
EMFSolutionYAMTL,Q1,1,0,17,Update,Memory,6978496
EMFSolutionYAMTL,Q1,1,0,17,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,18,Update,Time,693785
EMFSolutionYAMTL,Q1,1,0,18,Update,Memory,7018600
EMFSolutionYAMTL,Q1,1,0,18,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,19,Update,Time,845566
EMFSolutionYAMTL,Q1,1,0,19,Update,Memory,7064496
EMFSolutionYAMTL,Q1,1,0,19,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,20,Update,Time,295276
EMFSolutionYAMTL,Q1,1,0,20,Update,Memory,7097008
EMFSolutionYAMTL,Q1,1,0,20,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,2,0,0,Initialization,Time,276513406
EMFSolutionYAMTL,Q1,2,0,0,Initialization,Memory,4276232
EMFSolutionYAMTL,Q1,2,0,0,Load,Time,393341665
EMFSolutionYAMTL,Q1,2,0,0,Load,Memory,5735344
EMFSolutionYAMTL,Q1,2,0,0,Initial,Time,55288900
EMFSolutionYAMTL,Q1,2,0,0,Initial,Memory,6845000
EMFSolutionYAMTL,Q1,2,0,0,Initial,Elements,167197|723178|404286
EMFSolutionYAMTL,Q1,2,0,1,Update,Time,8944340
EMFSolutionYAMTL,Q1,2,0,1,Update,Memory,7117112
EMFSolutionYAMTL,Q1,2,0,1,Update,Elements,167197|723178|404286
EMFSolutionYAMTL,Q1,2,0,2,Update,Time,1216293
EMFSolutionYAMTL,Q1,2,0,2,Update,Memory,7163976
EMFSolutionYAMTL,Q1,2,0,2,Update,Elements,167197|723178|404286
EMFSolutionYAMTL,Q1,2,0,3,Update,Time,110316
EMFSolutionYAMTL,Q1,2,0,3,Update,Memory,7189096
EMFSolutionYAMTL,Q1,2,0,3,Update,Elements,167197|723178|404286
EMFSolutionYAMTL,Q1,2,0,4,Update,Time,330328
EMFSolutionYAMTL,Q1,2,0,4,Update,Memory,7222448
EMFSolutionYAMTL,Q1,2,0,4,Update,Elements,404236|167197|723178
EMFSolutionYAMTL,Q1,2,0,5,Update,Time,1137045
EMFSolutionYAMTL,Q1,2,0,5,Update,Memory,7269992
EMFSolutionYAMTL,Q1,2,0,5,Update,Elements,404236|167197|723178
EMFSolutionYAMTL,Q1,2,0,6,Update,Time,1139429
EMFSolutionYAMTL,Q1,2,0,6,Update,Memory,7314128
EMFSolutionYAMTL,Q1,2,0,6,Update,Elements,404236|167197|723178
EMFSolutionYAMTL,Q1,4,0,0,Initialization,Time,272492483
EMFSolutionYAMTL,Q1,4,0,0,Initialization,Memory,4276032
EMFSolutionYAMTL,Q1,4,0,0,Load,Time,544838278
EMFSolutionYAMTL,Q1,4,0,0,Load,Memory,6712640
EMFSolutionYAMTL,Q1,4,0,0,Initial,Time,93021187
