Tool,View,ChangeSet,RunIndex,Iteration,PhaseName,MetricName,MetricValue
EMFSolutionYAMTL,Q1,1,0,0,Initialization,Time,319657245
EMFSolutionYAMTL,Q1,1,0,0,Initialization,Memory,4276176
EMFSolutionYAMTL,Q1,1,0,0,Load,Time,368581196
EMFSolutionYAMTL,Q1,1,0,0,Load,Memory,5396336
EMFSolutionYAMTL,Q1,1,0,0,Initial,Time,48297408
EMFSolutionYAMTL,Q1,1,0,0,Initial,Memory,6125376
EMFSolutionYAMTL,Q1,1,0,0,Initial,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,1,Update,Time,10620408
EMFSolutionYAMTL,Q1,1,0,1,Update,Memory,6188192
EMFSolutionYAMTL,Q1,1,0,1,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,2,Update,Time,847148
EMFSolutionYAMTL,Q1,1,0,2,Update,Memory,6204016
EMFSolutionYAMTL,Q1,1,0,2,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,3,Update,Time,1490524
EMFSolutionYAMTL,Q1,1,0,3,Update,Memory,6219520
EMFSolutionYAMTL,Q1,1,0,3,Update,Elements,404236|167197|404315
EMFSolutionYAMTL,Q1,1,0,4,Update,Time,505009
EMFSolutionYAMTL,Q1,1,0,4,Update,Memory,6236568
EMFSolutionYAMTL,Q1,1,0,4,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,5,Update,Time,808738
EMFSolutionYAMTL,Q1,1,0,5,Update,Memory,6253648
EMFSolutionYAMTL,Q1,1,0,5,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,6,Update,Time,762283
EMFSolutionYAMTL,Q1,1,0,6,Update,Memory,6271256
EMFSolutionYAMTL,Q1,1,0,6,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,7,Update,Time,508058
EMFSolutionYAMTL,Q1,1,0,7,Update,Memory,6287752
EMFSolutionYAMTL,Q1,1,0,7,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,8,Update,Time,799466
EMFSolutionYAMTL,Q1,1,0,8,Update,Memory,6305928
EMFSolutionYAMTL,Q1,1,0,8,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,9,Update,Time,756692
EMFSolutionYAMTL,Q1,1,0,9,Update,Memory,6321600
EMFSolutionYAMTL,Q1,1,0,9,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,10,Update,Time,649721
EMFSolutionYAMTL,Q1,1,0,10,Update,Memory,6341488
EMFSolutionYAMTL,Q1,1,0,10,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,11,Update,Time,486253
EMFSolutionYAMTL,Q1,1,0,11,Update,Memory,6358384
EMFSolutionYAMTL,Q1,1,0,11,Update,Elements,167197|404236|404315
EMFSolutionYAMTL,Q1,1,0,12,Update,Time,438905
