id:ID|timestamp:STRING|content:STRING
529590|2010-02-09 03:05:20|LOL
529589|2010-02-09 03:20:53|cool
529591|2010-02-09 04:19:19|ok
529594|2010-02-09 05:08:38|right
529592|2010-02-09 05:31:37|About Niccolò Machiavelli, a diplomat, political philosopher, playwright, and a civi.
529595|2010-02-09 06:19:44|good
529593|2010-02-09 06:27:33|duh
529588|2010-02-09 07:17:12|cool
702748|2010-02-12 17:19:57|cool
702760|2010-02-12 17:23:49|About Pope Benedict . About Andrew Lloyd W. About John Gielgud, . About Ringo Starr.
702747|2010-02-12 17:38:09|About John How. About Pope Ben. About Albert E. About Karl Mar. About Lord Byr. About M.
702757|2010-02-12 17:50:35|ok
702759|2010-02-12 19:37:02|no way!
702750|2010-02-13 07:12:06|great
702753|2010-02-13 08:58:17|ok
702756|2010-02-13 09:43:48|About Pope Be. About Karl Ma. About Lord By. About Ben Jon. About Michael. About G.
702758|2010-02-13 09:44:00|duh
702749|2010-02-13 12:18:00|great
702755|2010-02-12 21:05:25|About John Howar. About Pope Bened. About George Fri. About Clint East. About Michael Bl. About .
702752|2010-02-13 00:11:10|no
702754|2010-02-13 06:15:06|thx
702751|2010-02-13 13:18:54|thanks
571690|2010-02-16 05:20:23|right
571692|2010-02-16 05:51:56|duh
571685|2010-02-16 06:54:09|fine
571688|2010-02-16 14:18:18|no way!
571686|2010-02-16 17:56:02|About Lleyton Hew. About John Coltra. About Herman Melv. About Rihanna, re. About Chasi.
571691|2010-02-16 22:58:35|cool
571687|2010-02-16 23:41:03|I see
571702|2010-02-17 00:43:11|fine
571689|2010-02-17 02:20:32|yes
571693|2010-02-17 06:29:53|About Lleyton . About John Col. About Weird Al. About Lionel R. About Herman M. About De.
571701|2010-02-17 06:54:19|About Bono, is omnivorous and i. About John Coltrane, awarded th. About Weird Al Yankovic, no lon. About Angelina Jolie, Croft in . About Johnny Depp, as th.
571696|2010-02-17 12:24:08|About Lley. About Robe. About John. About Tenn. About Lion. About Herm. About Nigh. Abo.
571694|2010-02-17 14:49:36|About The Dutchess, . About Brazil, larges. About Bette Midler S. About De Do Do.
571700|2010-02-17 18:37:00|duh
571695|2010-02-18 06:42:04|cool
571699|2010-02-17 15:23:36|roflol
571697|2010-02-18 05:04:18|thx
571698|2010-02-17 12:40:56|fine
1301996|2010-02-16 19:02:22|great
1301990|2010-02-16 19:58:24|maybe
1301998|2010-02-17 07:00:46|no
1301991|2010-02-17 07:46:36|About Napoleon, coalition with Napoleon. T. About Al Green, Roll Hall of Fame inducte.
1302000|2010-02-17 08:04:56|About Napoleon, as this was wh. About Robert F. Kennedy, Gate . About Al Green, hit single.
1301994|2010-02-17 15:42:21|yes
1301992|2010-02-17 17:09:15|About Napoleon, later in . About Charles I of Englan. About Al Green, Stone .
1301997|2010-02-17 19:11:14|cool
1302001|2010-02-18 02:33:04|About Charles I of Engla. About Kate Bush, solo fe. About Maggie May, and .
