:START_ID|:END_ID
974|3705
1564|3825
2608|3633
2608|2886
2608|4555
2608|3705
2608|4231
2608|3192
3633|3748
3633|4290
3633|4688
2886|4231
2886|3705
2886|3633
2886|4511
143|1564
143|4755
143|4555
143|238
143|3627
143|1103
143|1219
459|1259
459|4273
459|1160
459|1564
459|4644
1259|3962
1259|3705
94|555
94|2608
555|3633
555|4273
555|3092
555|2886
555|3412
555|3705
555|4511
555|4831
555|1269
2214|4511
4555|4644
4273|4644
2191|4139
2191|4986
2004|4555
407|3331
1079|1564
1103|2783
2783|4755
2783|4555
2783|3055
2783|4281
2783|3825
150|3962
150|2588
4577|4831
3412|4005
3412|3748
3412|4693
3412|4290
3412|4273
3412|4577
3412|3705
768|2783
1242|4624
3748|4831
3748|3924
683|1274
238|1103
238|4178
1434|4555
1222|2783
1222|4555
1050|2783
2269|4555
987|3670
2317|2530
2317|3067
4178|4848
1490|4506
1490|4555
3192|3412
3192|3633
1959|2191
1355|2023
1355|4273
1131|2608
1077|2783
1922|2783
619|2783
250|1481
1481|2317
1269|4139
1269|2608
96|4273
1148|3962
932|3716
3924|4688
1949|4848
1949|4661
2079|2783
