Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
"differential";"Q1";1;0;0;"Initialization";"Time";3450400
"differential";"Q1";1;0;0;"Load";"Time";1429195
"differential";"Q1";1;0;0;"Initial";"Elements";"404236|167197|404315"
"differential";"Q1";1;0;0;"Initial";"Time";5828266
"differential";"Q1";1;0;1;"Update";"Elements";"404236|167197|404315"
"differential";"Q1";1;0;1;"Update";"Time";904101
"differential";"Q1";1;0;2;"Update";"Elements";"404236|167197|404315"
"differential";"Q1";1;0;2;"Update";"Time";860661
"differential";"Q1";1;0;3;"Update";"Elements";"404236|167197|404315"
"differential";"Q1";1;0;3;"Update";"Time";854112
"differential";"Q1";1;0;4;"Update";"Elements";"167197|404236|404315"
"differential";"Q1";1;0;4;"Update";"Time";914399
"differential";"Q1";1;0;5;"Update";"Elements";"167197|404236|404315"
"differential";"Q1";1;0;5;"Update";"Time";952396
"differential";"Q1";1;0;6;"Update";"Elements";"167197|404236|404315"
"differential";"Q1";1;0;6;"Update";"Time";815046
"differential";"Q1";1;0;7;"Update";"Elements";"167197|404236|404315"
"differential";"Q1";1;0;7;"Update";"Time";776285
"differential";"Q1";1;0;8;"Update";"Elements";"167197|404236|404315"
"differential";"Q1";1;0;8;"Update";"Time";1033582
"differential";"Q1";1;0;9;"Update";"Elements";"167197|404236|404315"
"differential";"Q1";1;0;9;"Update";"Time";865074
"differential";"Q1";1;0;10;"Update";"Elements";"167197|404236|404315"
"differential";"Q1";1;0;10;"Update";"Time";844164
"differential";"Q1";1;0;11;"Update";"Elements";"167197|404236|404315"
"differential";"Q1";1;0;11;"Update";"Time";785424
"differential";"Q1";1;0;12;"Update";"Elements";"167197|404236|404315"
"differential";"Q1";1;0;12;"Update";"Time";773881
"differential";"Q1";1;0;13;"Update";"Elements";"404236|167197|404315"
"differential";"Q1";1;0;13;"Update";"Time";843559
"differential";"Q1";1;0;14;"Update";"Elements";"404236|167197|404315"
"differential";"Q1";1;0;14;"Update";"Time";1013250
"differential";"Q1";1;0;15;"Update";"Elements";"404236|167197|404315"
"differential";"Q1";1;0;15;"Update";"Time";803740
"differential";"Q1";1;0;16;"Update";"Elements";"404236|167197|404315"
"differential";"Q1";1;0;16;"Update";"Time";763274
"differential";"Q1";1;0;17;"Update";"Elements";"404236|167197|404315"
"differential";"Q1";1;0;17;"Update";"Time";1034035
"differential";"Q1";1;0;18;"Update";"Elements";"404236|167197|404315"
"differential";"Q1";1;0;18;"Update";"Time";1125692
"differential";"Q1";1;0;19;"Update";"Elements";"404236|167197|404315"
"differential";"Q1";1;0;19;"Update";"Time";1063557
"differential";"Q1";1;0;20;"Update";"Elements";"404236|167197|404315"
"differential";"Q1";1;0;20;"Update";"Time";735461
"differential";"Q1";1;1;0;"Initialization";"Time";2302607
"differential";"Q1";1;1;0;"Load";"Time";1284209
"differential";"Q1";1;1;0;"Initial";"Elements";"404236|167197|404315"
"differential";"Q1";1;1;0;"Initial";"Time";5132665
"differential";"Q1";1;1;1;"Update";"Elements";"404236|167197|404315"
"differential";"Q1";1;1;1;"Update";"Time";833286
