Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
GB-Batch-x1;Q1;1;0;0;Load;Time;5334137
GB-Batch-x1;Q1;1;0;0;Initial;Time;351545
GB-Batch-x1;Q1;1;0;0;Initial;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;0;1;Update;Time;502147
GB-Batch-x1;Q1;1;0;1;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;0;2;Update;Time;209167
GB-Batch-x1;Q1;1;0;2;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;0;3;Update;Time;199732
GB-Batch-x1;Q1;1;0;3;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;0;4;Update;Time;192059
GB-Batch-x1;Q1;1;0;4;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;0;5;Update;Time;208899
GB-Batch-x1;Q1;1;0;5;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;0;6;Update;Time;191617
GB-Batch-x1;Q1;1;0;6;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;0;7;Update;Time;171985
GB-Batch-x1;Q1;1;0;7;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;0;8;Update;Time;195739
GB-Batch-x1;Q1;1;0;8;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;0;9;Update;Time;188881
GB-Batch-x1;Q1;1;0;9;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;0;10;Update;Time;209483
GB-Batch-x1;Q1;1;0;10;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;0;11;Update;Time;174855
GB-Batch-x1;Q1;1;0;11;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;0;12;Update;Time;231910
GB-Batch-x1;Q1;1;0;12;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;0;13;Update;Time;107133
GB-Batch-x1;Q1;1;0;13;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;0;14;Update;Time;198083
GB-Batch-x1;Q1;1;0;14;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;0;15;Update;Time;222454
GB-Batch-x1;Q1;1;0;15;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;0;16;Update;Time;110175
GB-Batch-x1;Q1;1;0;16;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;0;17;Update;Time;217497
GB-Batch-x1;Q1;1;0;17;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;0;18;Update;Time;210165
GB-Batch-x1;Q1;1;0;18;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;0;19;Update;Time;201809
GB-Batch-x1;Q1;1;0;19;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;0;20;Update;Time;188438
GB-Batch-x1;Q1;1;0;20;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;1;0;Load;Time;4066339
GB-Batch-x1;Q1;1;1;0;Initial;Time;108823
GB-Batch-x1;Q1;1;1;0;Initial;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;1;1;Update;Time;268961
GB-Batch-x1;Q1;1;1;1;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;1;2;Update;Time;186782
GB-Batch-x1;Q1;1;1;2;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;1;3;Update;Time;190275
GB-Batch-x1;Q1;1;1;3;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;1;4;Update;Time;200593
GB-Batch-x1;Q1;1;1;4;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;1;5;Update;Time;190960
GB-Batch-x1;Q1;1;1;5;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;1;6;Update;Time;187115
GB-Batch-x1;Q1;1;1;6;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;1;7;Update;Time;167060
GB-Batch-x1;Q1;1;1;7;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;1;8;Update;Time;176956
GB-Batch-x1;Q1;1;1;8;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;1;9;Update;Time;191388
GB-Batch-x1;Q1;1;1;9;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;1;10;Update;Time;192266
GB-Batch-x1;Q1;1;1;10;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;1;11;Update;Time;167343
GB-Batch-x1;Q1;1;1;11;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;1;12;Update;Time;239666
GB-Batch-x1;Q1;1;1;12;Update;Elements;167197|404236|404315
GB-Batch-x1;Q1;1;1;13;Update;Time;98352
GB-Batch-x1;Q1;1;1;13;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;1;14;Update;Time;125793
GB-Batch-x1;Q1;1;1;14;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;1;15;Update;Time;199029
GB-Batch-x1;Q1;1;1;15;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;1;16;Update;Time;93942
GB-Batch-x1;Q1;1;1;16;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;1;17;Update;Time;202094
GB-Batch-x1;Q1;1;1;17;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;1;18;Update;Time;203623
GB-Batch-x1;Q1;1;1;18;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;1;19;Update;Time;195989
GB-Batch-x1;Q1;1;1;19;Update;Elements;404236|167197|404315
GB-Batch-x1;Q1;1;1;20;Update;Time;158820
