Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
EMFSolutionYAMTL;Q1;1;0;0;Initialization;Time;342826126
EMFSolutionYAMTL;Q1;1;0;0;Load;Time;377362598
EMFSolutionYAMTL;Q1;1;0;0;Initial;Time;63137962
EMFSolutionYAMTL;Q1;1;0;0;Initial;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;1;Update;Time;5808762
EMFSolutionYAMTL;Q1;1;0;1;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;2;Update;Time;550702
EMFSolutionYAMTL;Q1;1;0;2;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;3;Update;Time;1107543
EMFSolutionYAMTL;Q1;1;0;3;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;4;Update;Time;743095
EMFSolutionYAMTL;Q1;1;0;4;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;5;Update;Time;918031
EMFSolutionYAMTL;Q1;1;0;5;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;6;Update;Time;684790
EMFSolutionYAMTL;Q1;1;0;6;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;7;Update;Time;639124
EMFSolutionYAMTL;Q1;1;0;7;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;8;Update;Time;590236
EMFSolutionYAMTL;Q1;1;0;8;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;9;Update;Time;569448
EMFSolutionYAMTL;Q1;1;0;9;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;10;Update;Time;776745
EMFSolutionYAMTL;Q1;1;0;10;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;11;Update;Time;605933
EMFSolutionYAMTL;Q1;1;0;11;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;12;Update;Time;628848
EMFSolutionYAMTL;Q1;1;0;12;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;0;13;Update;Time;520528
EMFSolutionYAMTL;Q1;1;0;13;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;14;Update;Time;617706
EMFSolutionYAMTL;Q1;1;0;14;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;15;Update;Time;316481
EMFSolutionYAMTL;Q1;1;0;15;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;16;Update;Time;575396
EMFSolutionYAMTL;Q1;1;0;16;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;17;Update;Time;618331
EMFSolutionYAMTL;Q1;1;0;17;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;18;Update;Time;979394
EMFSolutionYAMTL;Q1;1;0;18;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;19;Update;Time;553165
EMFSolutionYAMTL;Q1;1;0;19;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;0;20;Update;Time;346435
EMFSolutionYAMTL;Q1;1;0;20;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;1;0;Initialization;Time;378433501
EMFSolutionYAMTL;Q1;1;1;0;Load;Time;375080132
EMFSolutionYAMTL;Q1;1;1;0;Initial;Time;65366218
EMFSolutionYAMTL;Q1;1;1;0;Initial;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;1;1;Update;Time;5702110
EMFSolutionYAMTL;Q1;1;1;1;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;1;2;Update;Time;1186811
EMFSolutionYAMTL;Q1;1;1;2;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;1;3;Update;Time;1096514
EMFSolutionYAMTL;Q1;1;1;3;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;1;4;Update;Time;674319
EMFSolutionYAMTL;Q1;1;1;4;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;1;5;Update;Time;573258
EMFSolutionYAMTL;Q1;1;1;5;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;1;6;Update;Time;743064
EMFSolutionYAMTL;Q1;1;1;6;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;1;7;Update;Time;629536
EMFSolutionYAMTL;Q1;1;1;7;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;1;8;Update;Time;612042
EMFSolutionYAMTL;Q1;1;1;8;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;1;9;Update;Time;546475
EMFSolutionYAMTL;Q1;1;1;9;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;1;10;Update;Time;865569
EMFSolutionYAMTL;Q1;1;1;10;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;1;11;Update;Time;514403
EMFSolutionYAMTL;Q1;1;1;11;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;1;12;Update;Time;564268
EMFSolutionYAMTL;Q1;1;1;12;Update;Elements;167197|404236|404315
EMFSolutionYAMTL;Q1;1;1;13;Update;Time;723471
EMFSolutionYAMTL;Q1;1;1;13;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;1;14;Update;Time;676197
EMFSolutionYAMTL;Q1;1;1;14;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;1;15;Update;Time;279975
EMFSolutionYAMTL;Q1;1;1;15;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;1;16;Update;Time;327215
EMFSolutionYAMTL;Q1;1;1;16;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;1;17;Update;Time;531107
EMFSolutionYAMTL;Q1;1;1;17;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;1;18;Update;Time;764929
EMFSolutionYAMTL;Q1;1;1;18;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;1;19;Update;Time;560520
EMFSolutionYAMTL;Q1;1;1;19;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;1;20;Update;Time;335491
EMFSolutionYAMTL;Q1;1;1;20;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;2;0;Initialization;Time;351051393
EMFSolutionYAMTL;Q1;1;2;0;Load;Time;359091264
EMFSolutionYAMTL;Q1;1;2;0;Initial;Time;62435103
EMFSolutionYAMTL;Q1;1;2;0;Initial;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;2;1;Update;Time;5321163
EMFSolutionYAMTL;Q1;1;2;1;Update;Elements;404236|167197|404315
EMFSolutionYAMTL;Q1;1;2;2;Update;Time;575448
EMFSolutionYAMTL;Q1;1;2;2;Update;Elements;404236|167197|404315
