Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
SQLSolution;Q1;1;0;0;Initialization;Time;5822085488
SQLSolution;Q1;1;0;0;Load;Time;763823310
SQLSolution;Q1;1;0;0;Initial;Time;37632305
SQLSolution;Q1;1;0;0;Initial;Elements;404236|167197|404315
SQLSolution;Q1;1;0;1;Update;Time;25870829
SQLSolution;Q1;1;0;1;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;2;Update;Time;16562524
SQLSolution;Q1;1;0;2;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;3;Update;Time;13774069
SQLSolution;Q1;1;0;3;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;4;Update;Time;14726729
SQLSolution;Q1;1;0;4;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;5;Update;Time;19107835
SQLSolution;Q1;1;0;5;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;6;Update;Time;12696276
SQLSolution;Q1;1;0;6;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;7;Update;Time;9550681
SQLSolution;Q1;1;0;7;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;8;Update;Time;11408407
SQLSolution;Q1;1;0;8;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;9;Update;Time;9084211
SQLSolution;Q1;1;0;9;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;10;Update;Time;9699549
SQLSolution;Q1;1;0;10;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;11;Update;Time;17717216
SQLSolution;Q1;1;0;11;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;12;Update;Time;9824085
SQLSolution;Q1;1;0;12;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;13;Update;Time;9291554
SQLSolution;Q1;1;0;13;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;14;Update;Time;13130109
SQLSolution;Q1;1;0;14;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;15;Update;Time;8670572
SQLSolution;Q1;1;0;15;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;16;Update;Time;8110001
SQLSolution;Q1;1;0;16;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;17;Update;Time;10236772
SQLSolution;Q1;1;0;17;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;18;Update;Time;9295510
SQLSolution;Q1;1;0;18;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;19;Update;Time;10635955
SQLSolution;Q1;1;0;19;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;20;Update;Time;6963662
SQLSolution;Q1;1;0;20;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;1;0;Initialization;Time;3391653279
SQLSolution;Q1;1;1;0;Load;Time;737720107
SQLSolution;Q1;1;1;0;Initial;Time;37054079
SQLSolution;Q1;1;1;0;Initial;Elements;404236|167197|404315
SQLSolution;Q1;1;1;1;Update;Time;25875863
SQLSolution;Q1;1;1;1;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;1;2;Update;Time;16939473
SQLSolution;Q1;1;1;2;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;1;3;Update;Time;13881347
SQLSolution;Q1;1;1;3;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;1;4;Update;Time;14647386
SQLSolution;Q1;1;1;4;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;1;5;Update;Time;13416011
SQLSolution;Q1;1;1;5;Update;Elements;167197|404236|404315
