Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Neo4jSolution;Q1;1;0;0;Load;Time;14393907355
Neo4jSolution;Q1;1;0;0;Initial;Time;1146093153
Neo4jSolution;Q1;1;0;0;Initial;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;1;Update;Time;146164439
Neo4jSolution;Q1;1;0;1;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;2;Update;Time;15122412
Neo4jSolution;Q1;1;0;2;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;3;Update;Time;12201754
Neo4jSolution;Q1;1;0;3;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;4;Update;Time;17577120
Neo4jSolution;Q1;1;0;4;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;5;Update;Time;17397592
Neo4jSolution;Q1;1;0;5;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;6;Update;Time;13458582
Neo4jSolution;Q1;1;0;6;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;7;Update;Time;13798488
Neo4jSolution;Q1;1;0;7;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;8;Update;Time;16633301
Neo4jSolution;Q1;1;0;8;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;9;Update;Time;13054997
Neo4jSolution;Q1;1;0;9;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;10;Update;Time;24461478
Neo4jSolution;Q1;1;0;10;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;11;Update;Time;13784020
Neo4jSolution;Q1;1;0;11;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;12;Update;Time;11676620
Neo4jSolution;Q1;1;0;12;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;13;Update;Time;8345596
Neo4jSolution;Q1;1;0;13;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;14;Update;Time;156318305
Neo4jSolution;Q1;1;0;14;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;15;Update;Time;9374021
Neo4jSolution;Q1;1;0;15;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;16;Update;Time;6309284
Neo4jSolution;Q1;1;0;16;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;17;Update;Time;11924218
Neo4jSolution;Q1;1;0;17;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;18;Update;Time;18082476
Neo4jSolution;Q1;1;0;18;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;19;Update;Time;13898657
Neo4jSolution;Q1;1;0;19;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;20;Update;Time;6728572
Neo4jSolution;Q1;1;0;20;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;0;Load;Time;13762770299
Neo4jSolution;Q1;1;1;0;Initial;Time;1151124913
Neo4jSolution;Q1;1;1;0;Initial;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;1;Update;Time;151307640
Neo4jSolution;Q1;1;1;1;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;2;Update;Time;16867673
Neo4jSolution;Q1;1;1;2;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;3;Update;Time;11818434
Neo4jSolution;Q1;1;1;3;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;4;Update;Time;14503879
Neo4jSolution;Q1;1;1;4;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;5;Update;Time;25364833
Neo4jSolution;Q1;1;1;5;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;6;Update;Time;13363610
Neo4jSolution;Q1;1;1;6;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;7;Update;Time;12823220
Neo4jSolution;Q1;1;1;7;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;8;Update;Time;19066733
Neo4jSolution;Q1;1;1;8;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;9;Update;Time;14067431
Neo4jSolution;Q1;1;1;9;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;10;Update;Time;22926883
Neo4jSolution;Q1;1;1;10;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;11;Update;Time;13864585
Neo4jSolution;Q1;1;1;11;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;12;Update;Time;11820634
Neo4jSolution;Q1;1;1;12;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;13;Update;Time;8202282
Neo4jSolution;Q1;1;1;13;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;14;Update;Time;164031618
Neo4jSolution;Q1;1;1;14;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;15;Update;Time;11062843
Neo4jSolution;Q1;1;1;15;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;16;Update;Time;6654215
Neo4jSolution;Q1;1;1;16;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;17;Update;Time;12147565
Neo4jSolution;Q1;1;1;17;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;18;Update;Time;17778279
Neo4jSolution;Q1;1;1;18;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;19;Update;Time;13712466
Neo4jSolution;Q1;1;1;19;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;20;Update;Time;6444570
Neo4jSolution;Q1;1;1;20;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;0;Load;Time;13724923936
Neo4jSolution;Q1;1;2;0;Initial;Time;1147396717
Neo4jSolution;Q1;1;2;0;Initial;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;1;Update;Time;145000638
Neo4jSolution;Q1;1;2;1;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;2;Update;Time;16895781
Neo4jSolution;Q1;1;2;2;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;3;Update;Time;14150758
Neo4jSolution;Q1;1;2;3;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;4;Update;Time;14403996
Neo4jSolution;Q1;1;2;4;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;5;Update;Time;17358650
Neo4jSolution;Q1;1;2;5;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;6;Update;Time;17430378
Neo4jSolution;Q1;1;2;6;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;7;Update;Time;11720462
Neo4jSolution;Q1;1;2;7;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;8;Update;Time;17777331
Neo4jSolution;Q1;1;2;8;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;9;Update;Time;13570269
Neo4jSolution;Q1;1;2;9;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;10;Update;Time;25417391
Neo4jSolution;Q1;1;2;10;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;11;Update;Time;16243669
Neo4jSolution;Q1;1;2;11;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;12;Update;Time;11258748
Neo4jSolution;Q1;1;2;12;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;2;13;Update;Time;7759443
Neo4jSolution;Q1;1;2;13;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;14;Update;Time;158866709
Neo4jSolution;Q1;1;2;14;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;15;Update;Time;9981798
Neo4jSolution;Q1;1;2;15;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;16;Update;Time;6039223
Neo4jSolution;Q1;1;2;16;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;17;Update;Time;12414456
Neo4jSolution;Q1;1;2;17;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;18;Update;Time;17856085
Neo4jSolution;Q1;1;2;18;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;19;Update;Time;13090592
Neo4jSolution;Q1;1;2;19;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;2;20;Update;Time;6604028
Neo4jSolution;Q1;1;2;20;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;3;0;Load;Time;13889409621
