Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
NMF;Q1;1;0;0;Initialization;Time;345209500
NMF;Q1;1;0;0;Initialization;Memory;63889408
NMF;Q1;1;0;0;Load;Time;42289900
NMF;Q1;1;0;0;Load;Memory;66654208
NMF;Q1;1;0;0;Initial;Time;9545800
NMF;Q1;1;0;0;Initial;Memory;66654208
NMF;Q1;1;0;0;Initial;Elements;404236|167197|404315
NMF;Q1;1;0;1;Update;Time;2919200
NMF;Q1;1;0;1;Update;Memory;67186688
NMF;Q1;1;0;1;Update;Elements;404236|167197|404315
NMF;Q1;1;0;2;Update;Time;3427600
NMF;Q1;1;0;2;Update;Memory;67186688
NMF;Q1;1;0;2;Update;Elements;404236|167197|404315
NMF;Q1;1;0;3;Update;Time;1406400
NMF;Q1;1;0;3;Update;Memory;67186688
NMF;Q1;1;0;3;Update;Elements;404236|167197|404315
NMF;Q1;1;0;4;Update;Time;1415900
NMF;Q1;1;0;4;Update;Memory;67186688
NMF;Q1;1;0;4;Update;Elements;167197|404236|404315
NMF;Q1;1;0;5;Update;Time;1415200
NMF;Q1;1;0;5;Update;Memory;67457024
NMF;Q1;1;0;5;Update;Elements;167197|404236|404315
NMF;Q1;1;0;6;Update;Time;1426600
NMF;Q1;1;0;6;Update;Memory;67457024
NMF;Q1;1;0;6;Update;Elements;167197|404236|404315
NMF;Q1;1;0;7;Update;Time;1389400
NMF;Q1;1;0;7;Update;Memory;67457024
NMF;Q1;1;0;7;Update;Elements;167197|404236|404315
NMF;Q1;1;0;8;Update;Time;1437800
NMF;Q1;1;0;8;Update;Memory;67457024
NMF;Q1;1;0;8;Update;Elements;167197|404236|404315
NMF;Q1;1;0;9;Update;Time;1406000
NMF;Q1;1;0;9;Update;Memory;67457024
NMF;Q1;1;0;9;Update;Elements;167197|404236|404315
NMF;Q1;1;0;10;Update;Time;1413600
NMF;Q1;1;0;10;Update;Memory;67457024
NMF;Q1;1;0;10;Update;Elements;167197|404236|404315
NMF;Q1;1;0;11;Update;Time;1419400
NMF;Q1;1;0;11;Update;Memory;67457024
NMF;Q1;1;0;11;Update;Elements;167197|404236|404315
NMF;Q1;1;0;12;Update;Time;1446300
NMF;Q1;1;0;12;Update;Memory;67457024
NMF;Q1;1;0;12;Update;Elements;167197|404236|404315
NMF;Q1;1;0;13;Update;Time;1431600
NMF;Q1;1;0;13;Update;Memory;67457024
NMF;Q1;1;0;13;Update;Elements;404236|167197|404315
NMF;Q1;1;0;14;Update;Time;1451000
NMF;Q1;1;0;14;Update;Memory;67457024
NMF;Q1;1;0;14;Update;Elements;404236|167197|404315
NMF;Q1;1;0;15;Update;Time;1426200
NMF;Q1;1;0;15;Update;Memory;67457024
NMF;Q1;1;0;15;Update;Elements;404236|167197|404315
NMF;Q1;1;0;16;Update;Time;1422800
NMF;Q1;1;0;16;Update;Memory;67457024
NMF;Q1;1;0;16;Update;Elements;404236|167197|404315
NMF;Q1;1;0;17;Update;Time;1438000
NMF;Q1;1;0;17;Update;Memory;67457024
NMF;Q1;1;0;17;Update;Elements;404236|167197|404315
NMF;Q1;1;0;18;Update;Time;1473700
NMF;Q1;1;0;18;Update;Memory;67457024
NMF;Q1;1;0;18;Update;Elements;404236|167197|404315
NMF;Q1;1;0;19;Update;Time;1463700
NMF;Q1;1;0;19;Update;Memory;67457024
NMF;Q1;1;0;19;Update;Elements;404236|167197|404315
NMF;Q1;1;0;20;Update;Time;1452900
NMF;Q1;1;0;20;Update;Memory;67457024
NMF;Q1;1;0;20;Update;Elements;404236|167197|404315
NMF;Q1;1;1;0;Initialization;Time;322755600
NMF;Q1;1;1;0;Initialization;Memory;63754240
NMF;Q1;1;1;0;Load;Time;41836800
NMF;Q1;1;1;0;Load;Memory;66453504
NMF;Q1;1;1;0;Initial;Time;9417900
NMF;Q1;1;1;0;Initial;Memory;66453504
NMF;Q1;1;1;0;Initial;Elements;404236|167197|404315
NMF;Q1;1;1;1;Update;Time;2918200
NMF;Q1;1;1;1;Update;Memory;67256320
NMF;Q1;1;1;1;Update;Elements;404236|167197|404315
NMF;Q1;1;1;2;Update;Time;3420700
NMF;Q1;1;1;2;Update;Memory;67256320
NMF;Q1;1;1;2;Update;Elements;404236|167197|404315
NMF;Q1;1;1;3;Update;Time;1438800
NMF;Q1;1;1;3;Update;Memory;67256320
NMF;Q1;1;1;3;Update;Elements;404236|167197|404315
NMF;Q1;1;1;4;Update;Time;1448100
NMF;Q1;1;1;4;Update;Memory;67256320
NMF;Q1;1;1;4;Update;Elements;167197|404236|404315
NMF;Q1;1;1;5;Update;Time;1403800
NMF;Q1;1;1;5;Update;Memory;67256320
NMF;Q1;1;1;5;Update;Elements;167197|404236|404315
NMF;Q1;1;1;6;Update;Time;1448800
NMF;Q1;1;1;6;Update;Memory;67256320
NMF;Q1;1;1;6;Update;Elements;167197|404236|404315
NMF;Q1;1;1;7;Update;Time;1409400
NMF;Q1;1;1;7;Update;Memory;67256320
NMF;Q1;1;1;7;Update;Elements;167197|404236|404315
NMF;Q1;1;1;8;Update;Time;1476800
NMF;Q1;1;1;8;Update;Memory;67256320
NMF;Q1;1;1;8;Update;Elements;167197|404236|404315
NMF;Q1;1;1;9;Update;Time;1448500
NMF;Q1;1;1;9;Update;Memory;67256320
NMF;Q1;1;1;9;Update;Elements;167197|404236|404315
NMF;Q1;1;1;10;Update;Time;1428300
NMF;Q1;1;1;10;Update;Memory;67256320
NMF;Q1;1;1;10;Update;Elements;167197|404236|404315
NMF;Q1;1;1;11;Update;Time;1424900
NMF;Q1;1;1;11;Update;Memory;67256320
NMF;Q1;1;1;11;Update;Elements;167197|404236|404315
NMF;Q1;1;1;12;Update;Time;1460900
NMF;Q1;1;1;12;Update;Memory;67256320
NMF;Q1;1;1;12;Update;Elements;167197|404236|404315
NMF;Q1;1;1;13;Update;Time;1442900
NMF;Q1;1;1;13;Update;Memory;67256320
NMF;Q1;1;1;13;Update;Elements;404236|167197|404315
NMF;Q1;1;1;14;Update;Time;1487200
NMF;Q1;1;1;14;Update;Memory;67256320
NMF;Q1;1;1;14;Update;Elements;404236|167197|404315
NMF;Q1;1;1;15;Update;Time;1468200
NMF;Q1;1;1;15;Update;Memory;67256320
NMF;Q1;1;1;15;Update;Elements;404236|167197|404315
NMF;Q1;1;1;16;Update;Time;1471500
NMF;Q1;1;1;16;Update;Memory;67256320
NMF;Q1;1;1;16;Update;Elements;404236|167197|404315
NMF;Q1;1;1;17;Update;Time;1455600
NMF;Q1;1;1;17;Update;Memory;67256320
NMF;Q1;1;1;17;Update;Elements;404236|167197|404315
NMF;Q1;1;1;18;Update;Time;1473200
NMF;Q1;1;1;18;Update;Memory;67256320
NMF;Q1;1;1;18;Update;Elements;404236|167197|404315
NMF;Q1;1;1;19;Update;Time;1514500
NMF;Q1;1;1;19;Update;Memory;67256320
NMF;Q1;1;1;19;Update;Elements;404236|167197|404315
NMF;Q1;1;1;20;Update;Time;1472000
NMF;Q1;1;1;20;Update;Memory;67256320
NMF;Q1;1;1;20;Update;Elements;404236|167197|404315
NMF;Q1;1;2;0;Initialization;Time;325892300
NMF;Q1;1;2;0;Initialization;Memory;63909888
NMF;Q1;1;2;0;Load;Time;42451100
NMF;Q1;1;2;0;Load;Memory;66543616
NMF;Q1;1;2;0;Initial;Time;9260400
NMF;Q1;1;2;0;Initial;Memory;66809856
NMF;Q1;1;2;0;Initial;Elements;404236|167197|404315
NMF;Q1;1;2;1;Update;Time;2783600
NMF;Q1;1;2;1;Update;Memory;67076096
NMF;Q1;1;2;1;Update;Elements;404236|167197|404315
NMF;Q1;1;2;2;Update;Time;3339900
NMF;Q1;1;2;2;Update;Memory;67076096
NMF;Q1;1;2;2;Update;Elements;404236|167197|404315
NMF;Q1;1;2;3;Update;Time;1345100
NMF;Q1;1;2;3;Update;Memory;67076096
NMF;Q1;1;2;3;Update;Elements;404236|167197|404315
NMF;Q1;1;2;4;Update;Time;1336100
NMF;Q1;1;2;4;Update;Memory;67076096
NMF;Q1;1;2;4;Update;Elements;167197|404236|404315
NMF;Q1;1;2;5;Update;Time;1333700
NMF;Q1;1;2;5;Update;Memory;67076096
NMF;Q1;1;2;5;Update;Elements;167197|404236|404315
NMF;Q1;1;2;6;Update;Time;1337600
NMF;Q1;1;2;6;Update;Memory;67076096
NMF;Q1;1;2;6;Update;Elements;167197|404236|404315
